<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160718,000000,163.2000000,164.4000000,162.2000000,162.3000000,32510
20160719,000000,162.1500000,163.5000000,161.1500000,163.0000000,60210
20160720,000000,162.0000000,163.5000000,162.0000000,162.7500000,56420
20160721,000000,163.0500000,165.1000000,162.9500000,164.5000000,83400
20160722,000000,164.7000000,167.2000000,164.7000000,166.3000000,60810
20160725,000000,166.4000000,166.4000000,164.9500000,165.8500000,44650
20160726,000000,166.5000000,167.0000000,163.3000000,164.5500000,69210
20160727,000000,164.9000000,165.3500000,164.6000000,164.6000000,23550
20160728,000000,164.1000000,167.0000000,163.3000000,164.5500000,111940
20160729,000000,164.5000000,166.4000000,164.0500000,165.8000000,40490
20160801,000000,166.0000000,166.4000000,163.9000000,165.6000000,45120
20160802,000000,164.9500000,166.0000000,164.4500000,165.2000000,107190
20160803,000000,165.7500000,166.0000000,164.7500000,165.8500000,78490
20160804,000000,165.6500000,167.0000000,164.2500000,166.3000000,426870
20160805,000000,166.4000000,167.5500000,165.2500000,166.0000000,62570
20160808,000000,166.0500000,166.0500000,164.0500000,165.1500000,131120
20160809,000000,164.5500000,165.7000000,164.5000000,165.0000000,142360
20160810,000000,165.7500000,165.9500000,164.1500000,164.5500000,70010
20160811,000000,164.5000000,165.0500000,162.0500000,164.5000000,286360
20160812,000000,164.4000000,165.5000000,163.4000000,165.0000000,83010
20160815,000000,165.0000000,168.2500000,164.9500000,167.3500000,113010
20160816,000000,167.7500000,169.3500000,167.5000000,168.4500000,107470
20160817,000000,168.3500000,170.9500000,168.0000000,170.3000000,129150
20160818,000000,170.5500000,171.3000000,168.6000000,170.0500000,95330
20160819,000000,169.7000000,171.6000000,168.6000000,170.3000000,249110
20160822,000000,170.6000000,171.9000000,169.2000000,170.6000000,185720
20160823,000000,169.4500000,170.9000000,167.7000000,169.8500000,306410
20160824,000000,169.5000000,174.7000000,169.5000000,173.1000000,171780
20160825,000000,172.8500000,174.5500000,167.2500000,172.6500000,216860
20160826,000000,174.1000000,174.5000000,172.0000000,172.9000000,79910
20160829,000000,172.8500000,173.8500000,172.5000000,173.2500000,46590
20160830,000000,173.5000000,174.1500000,172.1500000,173.0500000,59630
20160831,000000,173.2000000,173.8000000,171.6000000,172.1000000,76530
20160901,000000,172.1500000,172.8000000,171.3500000,171.8000000,67180
20160902,000000,171.4500000,172.1500000,170.7500000,171.4000000,68300
20160905,000000,171.4500000,171.6500000,169.6500000,171.5000000,130430
20160906,000000,171.5000000,173.5000000,169.9500000,171.3000000,410570
20160907,000000,171.1500000,175.0000000,170.0500000,173.8000000,181800
20160908,000000,175.2500000,176.4500000,174.3500000,175.6000000,151400
20160909,000000,175.9500000,176.5500000,172.3500000,174.2000000,119200
20160912,000000,174.3000000,174.3000000,172.2500000,172.9000000,82200
20160913,000000,172.6500000,176.0000000,172.4500000,175.4000000,270200
20160914,000000,175.4000000,176.9000000,173.4000000,175.6500000,114580
20160915,000000,175.1000000,176.5500000,175.0500000,175.7000000,125230
20160916,000000,176.0500000,178.3500000,175.9000000,177.4000000,79670
20160919,000000,177.1500000,178.9000000,174.4000000,175.2000000,96240
20160920,000000,174.5500000,177.8000000,174.1000000,176.4500000,91760
20160921,000000,177.5500000,178.9000000,176.0000000,177.3000000,154610
20160922,000000,177.7000000,179.7000000,177.5000000,178.7000000,125930
20160923,000000,179.7500000,179.7500000,177.0000000,178.4000000,92530
20160926,000000,178.4000000,179.7000000,177.7000000,178.5500000,59110
